Expenditure_Date,Payee_Name,Payee_State,Payee_Type,Amount,CF_ID,Committee_Name,Expense_Category,Expense_Purpose,Filing_Period
7/29/2013,Alpaca Signs And Designs,DE,Business/Group/Organization,558,3000712,Colonial Region Republican Committee,Printing and Campaign Materials ,Media - Graphic Design,2013 Annual
8/1/2013,Middletown Historical Society,DE,Business/Group/Organization,375,3000712,Colonial Region Republican Committee,Field Expenses ,Event or Fair Booth Expenses,2013 Annual
6/18/2013,Middletown Historical Society,DE,Business/Group/Organization,125,3000712,Colonial Region Republican Committee,Field Expenses ,Event or Fair Booth Expenses,2013 Annual
3/28/2013,Lopez for Senate,DE,Candidate Committee,300,2000507,Non Partisan Citizens For Business Expansion,Contributions,Contribution to Committee,2013 Annual
4/16/2013,Committee to Elect Bryon Short,DE,Candidate Committee,300,2000507,Non Partisan Citizens For Business Expansion,Contributions,Contribution to Committee,2013 Annual
4/18/2013,Friends for Ruth Briggs King,DE,Candidate Committee,300,2000507,Non Partisan Citizens For Business Expansion,Contributions,Contribution to Committee,2013 Annual
4/29/2013,Sokola For Senate,DE,Candidate Committee,300,2000507,Non Partisan Citizens For Business Expansion,Contributions,Contribution to Committee,2013 Annual
4/30/2013,Citizens for Williams,DE,Candidate Committee,300,2000507,Non Partisan Citizens For Business Expansion,Contributions,Contribution to Committee,2013 Annual
4/30/2013,Campaign to Elect Osienski,DE,Candidate Committee,300,2000507,Non Partisan Citizens For Business Expansion,Contributions,Contribution to Committee,2013 Annual
3/5/2013,Friends of Darryl Scott,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/25/2013,Friends for Debra Heffernan,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/25/2013,Friends of Quinn Johnson,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/5/2013,Friends of Ron Gray,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
4/15/2013,Friends of Steve Smyk,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/25/2013,Friends to Elect Danny Short,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/5/2013,Friends To Elect Gerald Hocker,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/25/2013,Friends to Elect Harvey R. Kenton,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
5/1/2013,Friends for Pete Schwartzkopf,DE,Candidate Committee,125,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
4/15/2013,Kim Williams for State Representative,DE,Candidate Committee,125,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/25/2013,Lopez for Senate,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
4/15/2013,Outtens Campaign,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
11/25/2013,Polly Sierer For Newark,DE,Candidate Committee,250,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
9/25/2013,Potter for State Representative,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
4/15/2013,Tim Dukes for State Representative,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/15/2013,IRS,,Business/Group/Organization,117,2000483,Delaware Association of Realtors DEL-PAC,Other Expenses,Income Tax (Interest Income),2013 Annual
8/20/2013,Biden for Attorney General,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
3/5/2013,Hudson Campaign Committee,DE,Candidate Committee,100,2000483,Delaware Association of Realtors DEL-PAC,Contributions,Contribution to Committee,2013 Annual
11/28/2013,PAL OF DEL,DE,Business/Group/Organization,500,1001316,FRIENDS OF LARRY MITCHELL,Media,Media - Newspaper,2013 Annual
7/29/2013,Rogers Graphics  Inc.,DE,Business/Group/Organization,616.5,1000408,Friends To Elect Gerald Hocker,Printing and Campaign Materials ,Printing Give away items (buttons bumper stickers t-shirts),2013 Annual
3/19/2013,Heninger Printing Co.  Inc.,DE,Business/Group/Organization,82,1000408,Friends To Elect Gerald Hocker,Printing and Campaign Materials ,Printing Give away items (buttons bumper stickers t-shirts),2013 Annual
9/30/2013,RJ Stancliff & Associates,SC,Business/Group/Organization,180,1000408,Friends To Elect Gerald Hocker,Media,Media - Website Development,2013 Annual
3/11/2013,,,Total of Expenditures not exceeding $100,50,1000408,Friends To Elect Gerald Hocker,Total of Expenditures not exceeding $100,Total of Expenditures not exceeding $100,2013 Annual
10/23/2013,Delmarva Digital,DE,Business/Group/Organization,1500,1000408,Friends To Elect Gerald Hocker,Media,Media - Website Development,2013 Annual
11/18/2013,RJ Stancliff & Associates,SC,Business/Group/Organization,150,1000408,Friends To Elect Gerald Hocker,Media,Media - Website Development,2013 Annual
1/25/2013,Rogers Graphics  Inc.,DE,Business/Group/Organization,2654,1000408,Friends To Elect Gerald Hocker,Printing and Campaign Materials ,Printing - Brochures,2013 Annual
3/26/2013,McGlynns Pub & Restaurant,DE,Business/Group/Organization,157.25,1000408,Friends To Elect Gerald Hocker,Fund Raiser,Fundraiser - Food & Beverage,2013 Annual
4/8/2013,Ally Cats Dance Group,DE,Business/Group/Organization,35,1000408,Friends To Elect Gerald Hocker,Media,Book/Brochure Advertising,2013 Annual
5/21/2013,Friends of South Coastal Library,DE,Business/Group/Organization,150,1000408,Friends To Elect Gerald Hocker,Media,Book/Brochure Advertising,2013 Annual
4/18/2013,Miss Delaware Scholarship Organization,DE,Non-Profit Organization,125,1000408,Friends To Elect Gerald Hocker,Media,Book/Brochure Advertising,2013 Annual
7/29/2013,Indian River VFC Ladies Auxilairy,DE,Business/Group/Organization,75,1000408,Friends To Elect Gerald Hocker,Media,Book/Brochure Advertising,2013 Annual
6/12/2013,BMX,DE,Business/Group/Organization,100,1000408,Friends To Elect Gerald Hocker,Media,Book/Brochure Advertising,2013 Annual
10/9/2013,Selbyville Fire Co.  Inc.,DE,Business/Group/Organization,100,1000408,Friends To Elect Gerald Hocker,Media,Book/Brochure Advertising,2013 Annual
11/22/2013,Indian River High School Band,DE,Non-Profit Organization,120,1000408,Friends To Elect Gerald Hocker,Media,Book/Brochure Advertising,2013 Annual
12/10/2013,Doyles Restaurant,DE,Business/Group/Organization,450,1000408,Friends To Elect Gerald Hocker,Other Expenses,Other,2013 Annual
12/10/2013,Premium Graphicx,TX,Business/Group/Organization,975.01,1000408,Friends To Elect Gerald Hocker,Media,Media - Graphic Design,2013 Annual
12/10/2013,Premium Graphicx,TX,Business/Group/Organization,1121.64,1000408,Friends To Elect Gerald Hocker,Media,Media - Graphic Design,2013 Annual
1/7/2013,Community Athletic League,DE,Business/Group/Organization,500,1001316,FRIENDS OF LARRY MITCHELL,Media,Billboards / Outdoor Advertising,2013 Annual
2/11/2013,Lauren Graves ,DE,Individual,330,1001316,FRIENDS OF LARRY MITCHELL,Postage,Postage ,2013 Annual
2/11/2013,Little League Baseball,DE,Business/Group/Organization,250,1001316,FRIENDS OF LARRY MITCHELL,Media,Book/Brochure Advertising,2013 Annual
4/30/2013,DOVER DOWNS,DE,Business/Group/Organization,580,1001316,FRIENDS OF LARRY MITCHELL,Fund Raiser,Fundraiser - Food & Beverage,2013 Annual
