Expenditure_Date,Payee_Name,Payee_State,Payee_Type,Amount,CF_ID,Committee_Name,Expense_Category,Expense_Purpose,Filing_Period
11/1/2011,Vista Print,MA,Business/Group/Organization,110,1002568,Potter for State Representative,Printing and Campaign Materials ,Data Conversion,2011 Annual
11/19/2011,Caleeob Watson,DE,Business/Group/Organization,400,1002568,Potter for State Representative,Media,Data Conversion,2011 Annual
12/8/2011,Fast Signs,DE,Business/Group/Organization,122,1002568,Potter for State Representative,Printing and Campaign Materials ,Data Conversion,2011 Annual
12/10/2011,Pal,DE,Business/Group/Organization,100,1002568,Potter for State Representative,Field Expenses ,Data Conversion,2011 Annual
12/29/2011,Charles Potter Jr,DE,Business/Group/Organization,0,1002568,Potter for State Representative,Non-Candidate Loan Payment,,2011 Annual
8/10/2011,Alpaca Signs And Designs,DE,Business/Group/Organization,650,3000712,Colonial Region Republican Committee,Media,Data Conversion,2011 Annual
8/16/2011,Wal Mart Stores,DE,Business/Group/Organization,198,3000712,Colonial Region Republican Committee,Field Expenses ,Data Conversion,2011 Annual
9/16/2011,Delaware City Parks Commission,DE,Business/Group/Organization,125,3000712,Colonial Region Republican Committee,Field Expenses ,Data Conversion,2011 Annual
9/20/2011,Andy Cherry,DE,Business/Group/Organization,144.54,3000712,Colonial Region Republican Committee,Expense Reimbursement,Data Conversion,2011 Annual
11/12/2011,Steve Beaston,DE,Business/Group/Organization,188.37,3000712,Colonial Region Republican Committee,Expense Reimbursement,Data Conversion,2011 Annual
12/31/2011,,,Total of Expenditures not exceeding $100,50,3000712,Colonial Region Republican Committee,Total of Expenditures not exceeding $100,,2011 Annual
7/14/2011,Public House,DE,Business/Group/Organization,774,1001786,Friends of Mike Brown,Fund Raiser,Fundraiser - Food & Beverage,2011 Annual
12/2/2011,US Postal Service,DE,Business/Group/Organization,70,1001786,Friends of Mike Brown,Postage,Postage ,2011 Annual
12/7/2011,Delaware State Republican Party,DE,Business/Group/Organization,47.5,1001786,Friends of Mike Brown,Fund Raiser,Fundraiser - Food & Beverage,2011 Annual
12/21/2011,Interdenominational Ministers Action Council,DE,Business/Group/Organization,50,1001786,Friends of Mike Brown,Fund Raiser,Fundraiser -General Expenses,2011 Annual
12/21/2011,Union Grill,DE,Business/Group/Organization,600,1001786,Friends of Mike Brown,Fund Raiser,Fundraiser - Food & Beverage,2011 Annual
1/5/2011,Dem Party,DE,Business/Group/Organization,23.05,1000417,People for Sheldon,In-Kind,Data Conversion,2010 8 Day General
1/5/2011,Dem Party,DE,Business/Group/Organization,2000,1000417,People for Sheldon,In-Kind,Data Conversion,2010 8 Day General
10/16/2011,John C. Atkins,DE,Business/Group/Organization,217.8,1000316,Committee to Elect John Atkins,In-Kind,Data Conversion,2010 Annual
5/15/2011,John C. Atkins,DE,Business/Group/Organization,504,1000316,Committee to Elect John Atkins,In-Kind,Data Conversion,2010 Annual
10/2/2011,John C. Atkings,DE,Business/Group/Organization,388,1000316,Committee to Elect John Atkins,In-Kind,Data Conversion,2010 Annual
5/1/2011,advertising,DE,Business/Group/Organization,435,1002519,Friends of Faith Newton,In-Kind,Data Conversion,2010 Annual
7/9/2011,ZellersforCommissioner,DE,Business/Group/Organization,67.93,1001793,Zellers for Commissioner,In-Kind,Data Conversion,2010 Annual
7/9/2011,Zellers for Commissioner,DE,Business/Group/Organization,67.93,1001793,Zellers for Commissioner,In-Kind,Data Conversion,2010 Annual
1/5/2011,none,DE,Business/Group/Organization,0,1002282,Friends to Elect Eric,In-Kind,Data Conversion,2010 Annual
12/31/2011,CIRJ Concepts,DE,Business/Group/Organization,800,1002531,Mitch Crane for Delaware,In-Kind,Data Conversion,2010 Annual
7/12/2011,Pig Roast,DE,Business/Group/Organization,185,3000685,34th District Republican Committee,In-Kind,Data Conversion,2010 Annual
9/26/2011,Ciro Poppiti,DE,Business/Group/Organization,120,1001546,Committee to Elect Bryon Short,In-Kind,Data Conversion,2010 Annual
12/1/2011,0,DE,Business/Group/Organization,0,1002132,Campaign to Elect Osienski,In-Kind,Data Conversion,2010 Annual
12/1/2011,0,DE,Business/Group/Organization,0,1002132,Campaign to Elect Osienski,In-Kind,Data Conversion,2010 Annual
12/1/2011,0,DE,Business/Group/Organization,0,1002132,Campaign to Elect Osienski,In-Kind,Data Conversion,2010 Annual
12/1/2011,0,DE,Business/Group/Organization,0,1002132,Campaign to Elect Osienski,In-Kind,Data Conversion,2010 Annual
1/1/2011,Melanie George,De,Business/Group/Organization,3000,1000293,Friends of Melanie George,In-Kind,Data Conversion,2010 Annual
4/11/2011,Biasotto  Nicholas,DE,Business/Group/Organization,132,1000194,Delawareans For Karen Weldin Stewart,In-Kind,Data Conversion,2010 Annual
11/17/2011,Facciolo  Kim,DE,Business/Group/Organization,587.4,1000194,Delawareans For Karen Weldin Stewart,In-Kind,Data Conversion,2010 Annual
12/21/2011,Lisa Diller,De,Business/Group/Organization,120,1001926,Friends of Lisa Diller,In-Kind,Data Conversion,2010 Annual
1/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
2/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
3/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
4/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
5/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
6/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
7/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
8/1/2011,Del Homes Catalog (no individual owns >=50%),DE,Business/Group/Organization,1200,3000633,Kent County Republican Committee,In-Kind,Data Conversion,2010 Annual
12/31/2011,John Otto,DE,Business/Group/Organization,82.49,1002093,Friends of Kay Wilde Gallogly for 24th District State Representative,In-Kind,Data Conversion,2010 Annual
7/4/2011,Lynne Phifer,DE,Business/Group/Organization,100.72,1002386,Clark 4 NCC,In-Kind,Data Conversion,2010 Annual
5/21/2011,Lynne Phifer,DE,Business/Group/Organization,17.99,1002386,Clark 4 NCC,In-Kind,Data Conversion,2010 Annual
5/23/2011,Lynne Phifer,DE,Business/Group/Organization,192.88,1002386,Clark 4 NCC,In-Kind,Data Conversion,2010 Annual
6/8/2011,Lynne Phifer,DE,Business/Group/Organization,116.4,1002386,Clark 4 NCC,In-Kind,Data Conversion,2010 Annual
9/13/2011,Dennis Phifer,DE,Business/Group/Organization,70,1002386,Clark 4 NCC,In-Kind,Data Conversion,2010 Annual
8/23/2011,Dennis Phifer,DE,Business/Group/Organization,52.3,1002386,Clark 4 NCC,In-Kind,Data Conversion,2010 Annual
