Expenditure_Date,Payee_Name,Payee_State,Payee_Type,Amount,CF_ID,Committee_Name,Expense_Category,Expense_Purpose,Filing_Period
4/30/2015,Democratic State Committee,DE,Political Committee,125,1002568,Potter for State Representative,Contributions,Contribution to Committee,2015 Annual
4/24/2015,Friends of Branywine Park,DE,Business/Group/Organization,100,1002568,Potter for State Representative,Other Expenses,Other,2015 Annual
4/22/2015,Shanon Andrews ,DE,Individual,100,1002568,Potter for State Representative,Media,Media - Website Development,2015 Annual
4/21/2015,Housing Opportunities  Inc.,DE,Business/Group/Organization,100,1002568,Potter for State Representative,Media,Book/Brochure Advertising,2015 Annual
7/30/2015,Robert Bovell ,DE,Individual,100,1002568,Potter for State Representative,Other Expenses,Other,2015 Annual
7/30/2015,Robert Bovell ,DE,Individual,100,1002568,Potter for State Representative,Other Expenses,Other,2015 Annual
9/17/2015,Pal,DE,Business/Group/Organization,200,1002568,Potter for State Representative,Media,Book/Brochure Advertising,2015 Annual
9/14/2015,NCSL,DC,Business/Group/Organization,100,1002568,Potter for State Representative,Other Expenses,Other,2015 Annual
9/8/2015,Shanon Andrews ,DE,Individual,250,1002568,Potter for State Representative,Media,Media - Website Development,2015 Annual
9/4/2015,Friends for Greg Fuller,DE,Candidate Committee,100,1002568,Potter for State Representative,Contributions,Contribution to Committee,2015 Annual
9/4/2015,TOVA Community Health  Inc.,DE,Business/Group/Organization,150,1002568,Potter for State Representative,Other Expenses,Other,2015 Annual
8/5/2015,Margaret Guy ,DE,Individual,100,1002568,Potter for State Representative,Other Expenses,Other,2015 Annual
1/5/2015,Delaware State Cope AFL-CIO,DE,Political Action Committee,1500,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
3/26/2015,Kevin Dougherty For PA Court,PA,Out-of-State or Federal Committee,500,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
1/5/2015,CBL Advertising,PA,Business/Group/Organization,2482.69,2000499,Local Union 313  I.B.E.W. - P.A.C.,Other Expenses,Media - Graphic Design,2015 Annual
6/26/2015,Committee to Elect Bill Carson,DE,Candidate Committee,175,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
5/6/2015,Campaign to Elect Osienski,DE,Candidate Committee,200,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
5/6/2015,Committee To Elect Keeley,DE,Candidate Committee,200,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
5/6/2015,Committee To Re-Elect Mulrooney,DE,Candidate Committee,200,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
6/26/2015,Committee To Re-Elect Bruce Ennis,DE,Candidate Committee,175,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
5/5/2015,Democratic State Committee,DE,Political Committee,300,2000499,Local Union 313  I.B.E.W. - P.A.C.,Fund Raiser,Fundraiser - Food & Beverage,2015 Annual
6/23/2015,Friends of Paul Mullen,PA,Out-of-State or Federal Committee,1000,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
5/5/2015,Martin A. Wilson ,DE,Individual,600,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
7/15/2015,31st Democratic District Committee,DE,Political Committee,400,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
8/21/2015,Committee to Elect David Bentz,DE,Candidate Committee,600,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
8/21/2015,Intl Brotherhood Electrical Workers Political Action Committee,DC,Out-of-State or Federal Committee,5000,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
9/22/2015,Kent County Democrat Committee,DE,Political Committee,180,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
10/22/2015,28th Representative/14th Senatorial District Democratic Club,DE,Political Committee,300,2000499,Local Union 313  I.B.E.W. - P.A.C.,Contributions,Contribution to Committee,2015 Annual
3/12/2015,Committee to Elect Patricia Blevins,DE,Candidate Committee,600,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/12/2015,The Committee to Elect Brian Bushweller,DE,Candidate Committee,600,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/12/2015,Friends of Sean M Lynn,DE,Candidate Committee,250,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/12/2015,Committee To Elect John Viola,DE,Candidate Committee,300,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/17/2015,Kim Williams for State Representative,DE,Candidate Committee,300,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/17/2015,Friends to Elect Danny Short,DE,Candidate Committee,300,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/17/2015,Friends to Elect Harvey R. Kenton,DE,Candidate Committee,300,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/25/2015,Friends for Ruth Briggs King,DE,Candidate Committee,300,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
3/25/2015,Friends of Rich Collins,DE,Candidate Committee,300,2000491,Optometry Eye PAC,Contributions,Contribution to Committee,2015 Annual
